idEvento;idUsuario;descripcion;fecha
1;qN4WOGHuXoyGCF0J9n7qWQRTdqDwHcA3uJ6PDaidtdE=;pLqctleIu0S2A8/fmF2owFqwq64Oy3B9IkizVUK6vgg=;47DEQpj8HBSa+/TImW+5JCeuQeRkm5NMpJWZG3hSuFU=
2;2;BKPException:Test Iniciales.;2018-06-09 18:38:42.500
3;2;BKPException:Probando desde depuracion,insercion de Trazas.;07/07/2018 18:16:27
4;2;BKPException:Probando desde depuracion,insercion de Trazas.;07/07/2018 18:23:44
